Rank,RelevanceScore,SuggestedSection,Title,Authors,Year,Venue,Citations,Source,Cluster,DOI,URL,Abstract
140,22.5,RW:Architecture,Simultaneous object detection and segmentation for patient-specific markerless lung tumor tracking in simulated radiographs with deep learning.,Lili Huang; Christopher Kurz; Philipp Freislederer; Farkhad Manapov,2024,Medical physics,0,PubMed,masked_image_modeling_medical,10.1002/mp.16705,https://pubmed.ncbi.nlm.nih.gov/37683107/,"Real-time tumor tracking is one motion management method to address motion-induced uncertainty. To date, fiducial markers are often required to reliably track lung tumors with X-ray imaging, which carries risks of complications and leads to prolonged treatment time. A markerless tracking approach is thus desirable. Deep learning-based approaches have shown promise for markerless tracking, but syst..."
141,22.0,"RW:KnowledgeDistillation, RW:MedicalSegmentation",Uncertainty Driven Adaptive Self-Knowledge Distillation for Medical Image Segmentation,Xutao Guo; Mengqi Wang; Yang Xiang; Yanwu Yang,2025,IEEE Transactions on Emerging Topics in Computational Intelligence,2,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/TETCI.2025.3526259,https://www.semanticscholar.org/paper/c8517883bff9c9663f813de75a5b3a8164270afc,"Deep learning has recently significantly improved the precision of medical image segmentation. However, due to the commonly limited dataset scale and reliance on hard labels (one-hot vectors) in medical image segmentation, deep learning models often overfit, which reduces segmentation performance. To mitigate the problem, we propose an uncertainty driven adaptive self-knowledge distillation (UAKD)..."
142,22.0,"RW:SelfSupervisedLearning, RW:Architecture",TokenGS: Decoupling 3D Gaussian Prediction from Pixels with Learnable Tokens,Jiawei Ren; Michal Jan Tyszkiewicz; Jiahui Huang; Zan Gojcic,2026,arXiv,0,arXiv,"core_topic, sparse_masked_cnn_pretraining, unet_self_supervised_medical",N/A,http://arxiv.org/abs/2604.15239v1,"In this work, we revisit several key design choices of modern Transformer-based approaches for feed-forward 3D Gaussian Splatting (3DGS) prediction. We argue that the common practice of regressing Gaussian means as depths along camera rays is suboptimal, and instead propose to directly regress 3D mean coordinates using only a self-supervised rendering loss. This formulation allows us to move from ..."
143,22.0,RW:SelfSupervisedLearning,Self-supervised segmentation and characterization of fiber bundles in anatomic tracing data.,Vaanathi Sundaresan; Julia F Lehman; Chiara Maffei; Suzanne N Haber,2025,"Imaging neuroscience (Cambridge, Mass.)",0,PubMed,core_topic,10.1162/imag_a_00514,https://pubmed.ncbi.nlm.nih.gov/40800953/,"Anatomic tracing is the gold standard tool for delineating brain connections and for validating more recently developed imaging approaches such as diffusion MRI tractography. A key step in the analysis of data from tracer experiments is the careful, manual charting of fiber trajectories on histological sections. This is a very time-consuming process, which limits the amount of annotated tracer dat..."
144,22.0,RW:MedicalSegmentation,Automated classification of oral cancer lesions: Vision transformers vs radiomics.,Eva Chilet-Martos; Joan Vila-Francés; José V Bagan; Yolanda Vives-Gilabert,2025,Computers in biology and medicine,0,PubMed,masked_image_modeling_medical,10.1016/j.compbiomed.2025.109913,https://pubmed.ncbi.nlm.nih.gov/40020550/,"Early diagnosis is paramount in the effective management of oral cancer, offering numerous benefits including improved treatment outcomes, reduced morbidity and mortality, preservation of function and appearance, cost-effectiveness, and enhanced quality of life for patients. Transformer-based models, increasingly used in medical image analysis, are the focus of our study. We aim to compare a visio..."
145,22.0,General,The Courtroom Trial of Pixels: Robust Image Manipulation Localization via Adversarial Evidence and Reinforcement Learning Judgment,Songlin Li; Zhiqing Guo; Dan Ma; Changtao Miao,2026,arXiv,0,arXiv,sparse_masked_cnn_pretraining,N/A,http://arxiv.org/abs/2604.14703v1,"Although some existing image manipulation localization (IML) methods incorporate authenticity-related supervision, this information is typically utilized merely as an auxiliary training signal to enhance the model's sensitivity to manipulation artifacts, rather than being explicitly modeled as localization evidence opposing the manipulated regions. Consequently, when manipulation traces are subtle..."
146,22.0,"RW:KnowledgeDistillation, RW:MedicalSegmentation, RW:Dataset",Mask-Enhanced Edge-Aware Knowledge Distillation for Medical Image Segmentation,Guangjun Zhu; Xiangchun Yu,2025,International Conference Civil Engineering and Architecture,0,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/ICCEA65460.2025.11103048,https://www.semanticscholar.org/paper/e4ae4db4fc79c53dab08fb07abad0386abb8a129,"Knowledge distillation has become a key paradigm for transferring knowledge from large-scale teacher models to compact student networks, effectively balancing computational efficiency with performance retention. In this paper, we propose a knowledge distillation method based on a mask adaptive mechanism, which efficiently transfers the rich feature information from a high-performance teacher netwo..."
147,21.6,"RW:KnowledgeDistillation, RW:MedicalSegmentation",Knowledge distillation with ensembles of convolutional neural networks for medical image segmentation,Julia M. H. Noothout; N. Lessmann; M. V. van Eede; Louis D. van Harten,2022,Journal of Medical Imaging,29,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1117/1.JMI.9.5.052407,https://www.semanticscholar.org/paper/0aabb1a4831d724bf28ef9a9a0d7bde6a1bb2ea7,"Abstract. Purpose: Ensembles of convolutional neural networks (CNNs) often outperform a single CNN in medical image segmentation tasks, but inference is computationally more expensive and makes ensembles unattractive for some applications. We compared the performance of differently constructed ensembles with the performance of CNNs derived from these ensembles using knowledge distillation, a techn..."
148,21.6,"RW:KnowledgeDistillation, RW:MedicalSegmentation",DistillMatch: Revisiting Self-Knowledge Distillation in Semi-Supervised Medical Image Segmentation,Chunshi Wang; Bin Zhao; Zhiyang Liu,2024,IEEE International Conference on Bioinformatics and Biomedicine,3,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/BIBM62325.2024.10821816,https://www.semanticscholar.org/paper/0e264ec0e0af8fd2bfd5e06aa1026f94a3fdf954,"Semi-supervised medical image segmentation still faces challenges although it is able to obtain better segmentation results using a small amount of labeled data and a large amount of unlabeled data. Despite the progress made by current methods in utilizing unlabeled data, they fail to exploit the full potential of labeled data in terms of improving model performance. In this paper, we propose a se..."
149,21.5,RW:KnowledgeDistillation,KDLight: A Lightweight Knowledge Distillation Framework for Medical Image Classification,S. Khan; Omair Bilal; Sajib Mistry; Novarun Deb,2025,IEEE International Joint Conference on Neural Network,1,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/IJCNN64981.2025.11228615,https://www.semanticscholar.org/paper/0f1231193530415969121a0b12fff882e9307305,"Conventional standalone approaches for diagnosing individual diseases often fail to achieve robust generalization because they are severely impacted by overfitting. This results in poor adaptability to diverse image representations and an inability to balance performance with computational efficiency. In this study, we propose KDLight, a lightweight, novel CNN model designed for efficient medical ..."
