Rank,RelevanceScore,SuggestedSection,Title,Authors,Year,Venue,Citations,Source,Cluster,DOI,URL,Abstract
1,42.5,"RW:SelfSupervisedLearning, RW:Architecture, RW:MedicalSegmentation",Few-shot deployment of pretrained MRI transformers in brain imaging tasks.,Mengyu Li; Guoyao Shen; Chad W Farris; Xin Zhang,2026,Frontiers in artificial intelligence,0,PubMed,masked_image_modeling_medical,10.3389/frai.2026.1771088,https://pubmed.ncbi.nlm.nih.gov/41994558/,"Transformer-based deep learning has shown great potential in medical imaging, but its real-world applicability remains limited due to the scarcity of annotated data. This study aims to develop a practical framework for the few-shot deployment of pretrained MRI transformers across diverse brain imaging tasks. We employ a Masked Autoencoder (MAE) pretraining strategy on a large-scale, multi-cohort b..."
2,42.5,"RW:SelfSupervisedLearning, RW:Architecture, RW:MedicalSegmentation",Automatic medical imaging segmentation via self-supervising large-scale convolutional neural networks.,Yuheng Li; Jacob F Wynne; Yizhou Wu; Richard L J Qiu,2025,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,0,PubMed,masked_image_modeling_medical,10.1016/j.radonc.2025.110711,https://pubmed.ncbi.nlm.nih.gov/39798701/,"This study aims to develop a robust, large-scale deep learning model for medical image segmentation, leveraging self-supervised learning to overcome the limitations of supervised learning and data variability in clinical settings. We curated a substantial multi-center CT dataset for self-supervised pre-training using masked image modeling with sparse submanifold convolution. We designed a series o..."
3,41.5,"RW:ContinualLearning, RW:SelfSupervisedLearning, RW:FederatedLearning",Foundation models in radiology: a primer for pediatric radiologists.,Amit Gupta; Salvatore Claudio Fanni; Diana Veiga-Canuto; Alessia Guarnera,2026,Pediatric radiology,0,PubMed,core_topic,10.1007/s00247-026-06544-y,https://pubmed.ncbi.nlm.nih.gov/41677830/,"Foundation models (FMs) are large deep learning models pre-trained on vast heterogeneous datasets through self-supervised learning that are adaptable to diverse downstream tasks with minimal fine-tuning. In pediatric radiology, where data scarcity, rare pathologies, and anatomical variability present significant hurdles, FMs offer a robust mechanism for broad feature learning. Complementary to tra..."
4,41.0,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",Hi-End-MAE: Hierarchical encoder-driven masked autoencoders are stronger vision learners for medical image segmentation.,Fenghe Tang; Qingsong Yao; Wenxin Ma; Chenxu Wu,2026,Medical image analysis,0,PubMed,masked_image_modeling_medical,10.1016/j.media.2025.103770,https://pubmed.ncbi.nlm.nih.gov/40986945/,"Medical image segmentation remains a formidable challenge due to the label scarcity. Pre-training Vision Transformer (ViT) through masked image modeling (MIM) on large-scale unlabeled medical datasets presents a promising solution, providing both computational efficiency and model generalization for various downstream tasks. However, current ViT-based MIM pre-training frameworks predominantly emph..."
5,41.0,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",Segment Like A Doctor: Learning reliable clinical thinking and experience for pancreas and pancreatic cancer segmentation.,Liwen Zou; Yingying Cao; Ziwei Nie; Liang Mao,2025,Medical image analysis,0,PubMed,masked_image_modeling_medical,10.1016/j.media.2025.103539,https://pubmed.ncbi.nlm.nih.gov/40112510/,"Pancreatic cancer is a lethal invasive tumor with one of the worst prognosis. Accurate and reliable segmentation for pancreas and pancreatic cancer on computerized tomography (CT) images is vital in clinical diagnosis and treatment. Although certain deep learning-based techniques have been tentatively applied to this task, current performance of pancreatic cancer segmentation is far from meeting t..."
6,40.5,"RW:SelfSupervisedLearning, RW:Architecture",Three dimensional segmentation of abdominal arteries and veins using vision transformers and domain adaptation.,Panpan Wu; Yurou Xu; Ziping Zhao; Zhangda Liu,2025,Physics in medicine and biology,0,PubMed,masked_image_modeling_medical,10.1088/1361-6560/ae2c3b,https://pubmed.ncbi.nlm.nih.gov/41473940/,"Accurate segmentation of abdominal three-dimensional (3D) vascular structures from computed tomography (CT) scans is crucial for clinical applications yet remains challenging due to dependency on large annotated datasets through effective pretraining and poor generalization via cross-domain feature alignment. In this paper, we proposes a novel transformer-based framework based on masked autoencode..."
7,40.0,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",SSL-DA: Semi-and Self-Supervised Learning with Dual Attention for Echocardiogram Segmentation.,Lin Lv; Xing Han; Zhengxiang Sun; Zhaoguang Li,2026,Journal of imaging informatics in medicine,0,PubMed,masked_image_modeling_medical,10.1007/s10278-025-01532-4,https://pubmed.ncbi.nlm.nih.gov/40355692/,"Echocardiogram analysis plays a crucial role in assessing and diagnosing cardiac function, providing essential data to support medical diagnoses of heart disease. A key task, accurately identifying and segmenting the left ventricle (LV) in echocardiograms, remains challenging and labor-intensive. Current automated cardiac segmentation methods often lack the necessary accuracy and reproducibility, ..."
8,39.5,"RW:SelfSupervisedLearning, RW:Architecture, RW:MedicalSegmentation, RW:Dataset",Masked Deformation Modeling for Volumetric Brain MRI Self-Supervised Pre-Training.,Junyan Lyu; Perry F Bartlett; Fatima A Nasrallah; Xiaoying Tang,2025,IEEE transactions on medical imaging,0,PubMed,masked_image_modeling_medical,10.1109/TMI.2024.3510922,https://pubmed.ncbi.nlm.nih.gov/40030579/,"Self-supervised learning (SSL) has been proposed to alleviate neural networks' reliance on annotated data and to improve downstream tasks' performance, which has obtained substantial success in several volumetric medical image segmentation tasks. However, most existing approaches are designed and pre-trained on CT or MRI datasets of non-brain organs. The lack of brain prior limits those methods' p..."
9,39.5,RW:SelfSupervisedLearning,Beyond Independent Frames: Latent Attention Masked Autoencoders for Multi-View Echocardiography,Simon Böhi; Irene Cannistraci; Sergio Muñoz Gonzalez; Moritz Vandenhirtz,2026,arXiv,0,arXiv,"sparse_masked_cnn_pretraining, knowledge_distillation_medical_segmentation, federated_ssl_medical_forgetting",N/A,http://arxiv.org/abs/2604.15096v1,"Echocardiography is a widely used modality for cardiac assessment due to its non-invasive and cost-effective nature, but the sparse and heterogeneous spatiotemporal views of the heart pose distinct challenges. Existing masked autoencoder (MAE) approaches typically process images or short clips independently, failing to capture the inherent multi-view structure required for coherent cardiac represe..."
10,39.0,"RW:ContinualLearning, RW:KnowledgeDistillation, RW:MedicalSegmentation",MOSInversion: Knowledge distillation-based incremental learning in organ segmentation using DeepInversion.,Jihyeon Kim; Gyeongmin Lee; Seung Yeon Shin; Soopil Kim,2025,Computers in biology and medicine,0,PubMed,masked_image_modeling_medical,10.1016/j.compbiomed.2025.111272,https://pubmed.ncbi.nlm.nih.gov/41218273/,"Despite recent advancements in multi-organ segmentation (MOS) of medical images, existing models are limited in terms of extending their capability to unseen classes. Incremental learning has been proposed to enable models to learn new classes progressively, possibly using multiple datasets from different institutions. In this setting, models easily experience performance degradation on previously..."
11,39.0,"RW:ContinualLearning, RW:SelfSupervisedLearning, RW:MedicalSegmentation, RW:FederatedLearning",Federated Cross-Incremental Self-Supervised Learning for Medical Image Segmentation.,Fan Zhang; Huiying Liu; Qing Cai; Chun-Mei Feng,2025,IEEE transactions on neural networks and learning systems,0,PubMed,masked_image_modeling_medical,10.1109/TNNLS.2024.3469962,https://pubmed.ncbi.nlm.nih.gov/39401108/,"Federated cross learning has shown impressive performance in medical image segmentation. However, it encounters the catastrophic forgetting issue caused by data heterogeneity across different clients and is particularly pronounced when simultaneously facing pixelwise label deficiency problem. In this article, we propose a novel federated cross-incremental self-supervised learning method, coined Fe..."
12,39.0,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",Improving Representation of High-frequency Components for Medical Visual Foundation Models.,Yuetan Chu; Yilan Zhang; Zhongyi Han; Changchun Yang,2025,IEEE transactions on medical imaging,0,PubMed,masked_image_modeling_medical,10.1109/TMI.2025.3559402,https://pubmed.ncbi.nlm.nih.gov/40202879/,"Foundation models have attracted significant attention for their impressive generalizability across diverse downstream tasks. However, they are demonstrated to exhibit great limitations in representing high-frequency components and fine-grained details. In many medical imaging tasks, precise representation of such information is crucial due to the inherently intricate anatomical structures, sub-vi..."
13,39.0,"RW:SelfSupervisedLearning, RW:Architecture",Three-dimensional semi-supervised lumbar vertebrae region of interest segmentation based on MAE pre-training.,Yang Liu; Jian Chen; Jinjin Hai; Kai Qiao,2025,Journal of X-ray science and technology,0,PubMed,masked_image_modeling_medical,10.1177/08953996241301685,https://pubmed.ncbi.nlm.nih.gov/39973800/,"The annotation of the regions of interest (ROI) of lumbar vertebrae by radiologists for bone density assessment is a tedious and time-intensive task. However, deep learning (DL) methods for image segmentation has the potential to substitute manual annotations which can significantly improve the efficiency of clinical diagnostics. The paper proposes a semi-supervised three-dimensional (3D) segmenta..."
14,39.0,"RW:SelfSupervisedLearning, RW:Architecture, RW:MedicalSegmentation",Text-guided multimodal deep learning in magnetic resonance imaging for spinal structures segmentation and lumbar abnormalities identification.,Jingxin Liu; Xinran Zhu; Zhangzhen Shi; Donghong An,2025,Quantitative imaging in medicine and surgery,0,PubMed,unet_self_supervised_medical,10.21037/qims-2025-635,https://pubmed.ncbi.nlm.nih.gov/41081178/,"In the domain of recent lumbar magnetic resonance imaging (MRI) analysis, the limitations of unimodal deep learning (DL) methods for medical imaging have gradually been revealed in that they remain insufficient to model the latent relationships within the textual semantics of category terms. These terms are used to define the research targets in medical imaging analysis tasks. Effective modeling o..."
15,38.0,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",ECAMP: Entity-centered Context-aware Medical Vision Language Pre-training.,Rongsheng Wang; Qingsong Yao; Zihang Jiang; Haoran Lai,2025,Medical image analysis,0,PubMed,masked_image_modeling_medical,10.1016/j.media.2025.103690,https://pubmed.ncbi.nlm.nih.gov/40602209/,"Despite significant advancements in medical vision-language pre-training, existing methods have largely overlooked the inherent linguistic complexity and imbalanced issue within medical reports, as well as the complex cross-modality contextual relationships between texts and images. To close this gap, we propose a novel Entity-centered Context-aware Medical Vision-language Pre-training (ECAMP) fra..."
16,38.0,"RW:SelfSupervisedLearning, RW:Architecture, RW:MedicalSegmentation",Data Synthesis Improves 3D Myotube Instance Segmentation,David Exler; Nils Friederich; Martin Krüger; John Jbeily,2026,arXiv,0,arXiv,sparse_masked_cnn_pretraining,N/A,http://arxiv.org/abs/2604.14720v1,"Myotubes are multinucleated muscle fibers serving as key model systems for studying muscle physiology, disease mechanisms, and drug responses. Mechanistic studies and drug screening thereby rely on quantitative morphological readouts such as diameter, length, and branching degree, which in turn require precise three-dimensional instance segmentation. Yet established pretrained biomedical segmentat..."
17,38.0,"RW:SelfSupervisedLearning, RW:Architecture, RW:MedicalSegmentation, RW:Dataset",Multi-scale graph harmonies: Unleashing U-Net's potential for medical image segmentation through contrastive learning.,Jie Wu; Jiquan Ma; Heran Xi; Jinbao Li,2025,Neural networks : the official journal of the International Neural Network Society,0,PubMed,unet_self_supervised_medical,10.1016/j.neunet.2024.106914,https://pubmed.ncbi.nlm.nih.gov/39608151/,"Medical image segmentation is essential for accurately representing tissues and organs in scans, improving diagnosis, guiding treatment, enabling quantitative analysis, and advancing AI-assisted healthcare. Organs and lesion areas in medical images have complex geometries and spatial relationships. Due to variations in the size and location of lesion areas, automatic segmentation faces significant..."
18,37.5,RW:SelfSupervisedLearning,Anatomically-guided Masked Autoencoder with Domain-Adaptive Prompting (AMAP) for multimodal cerebral aneurysm detection and segmentation.,Mingxuan Huang; Tiantian Liu; Jiayin Zhang; Xiaoming Su,2025,NPJ digital medicine,0,PubMed,core_topic,10.1038/s41746-025-02188-8,https://pubmed.ncbi.nlm.nih.gov/41361567/,"Intracranial cerebral aneurysms are life-threatening vascular abnormalities whose rupture may result in subarachnoid hemorrhage, stroke, or death. Detecting and delineating aneurysms, particularly those under 5 mm, is essential for risk assessment and treatment planning but remains difficult for current AI approaches. Existing methods often fail to identify small aneurysms, mis-segment vascular bi..."
19,37.5,"RW:ContinualLearning, RW:SelfSupervisedLearning, RW:KnowledgeDistillation",Continual source-free active domain adaptation for nasopharyngeal carcinoma tumor segmentation across multiple hospitals.,Zhaocan Yang; Yan Li; Yang Liu,2025,Neural networks : the official journal of the International Neural Network Society,0,PubMed,core_topic,10.1016/j.neunet.2025.107869,https://pubmed.ncbi.nlm.nih.gov/40684700/,"The Nasopharyngeal carcinoma (NPC) is a common malignant tumor and precise gross tumor volume (GTV) delineation is crucial for effective NPC radiotherapy. Deep learning techniques have enabled automated GTV segmentation, nevertheless, model performance often degrades due to domain shifts in multi-center data scenarios. Recent source-free active domain adaptation methods have achieved promising res..."
20,37.5,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",BUS-M2AE: Multi-scale Masked Autoencoder for Breast Ultrasound Image Analysis.,Le Yu; Bo Gou; Xun Xia; Yujia Yang,2025,Computers in biology and medicine,0,PubMed,masked_image_modeling_medical,10.1016/j.compbiomed.2025.110159,https://pubmed.ncbi.nlm.nih.gov/40252289/,"Masked AutoEncoder (MAE) has demonstrated significant potential in medical image analysis by reducing the cost of manual annotations. However, MAE and its recent variants are not well-developed for ultrasound images in breast cancer diagnosis, as they struggle to generalize to the task of distinguishing ultrasound breast tumors of varying sizes. This limitation hinders the model's ability to adapt..."
21,37.5,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",Rethinking masked image modelling for medical image representation.,Yutong Xie; Lin Gu; Tatsuya Harada; Jianpeng Zhang,2024,Medical image analysis,0,PubMed,masked_image_modeling_medical,10.1016/j.media.2024.103304,https://pubmed.ncbi.nlm.nih.gov/39173412/,"Masked Image Modelling (MIM), a form of self-supervised learning, has garnered significant success in computer vision by improving image representations using unannotated data. Traditional MIMs typically employ a strategy of random sampling across the image. However, this random masking technique may not be ideally suited for medical imaging, which possesses distinct characteristics divergent from..."
22,37.0,"RW:SelfSupervisedLearning, RW:KnowledgeDistillation, RW:MedicalSegmentation",Co-distilled attention guided masked image modeling with noisy teacher for self-supervised learning on medical images,Jue Jiang; Aneesh Rangnekar; Harini Veeraraghavan,2026,arXiv,0,arXiv,sparse_masked_cnn_pretraining,N/A,http://arxiv.org/abs/2604.14506v1,"Masked image modeling (MIM) is a highly effective self-supervised learning (SSL) approach to extract useful feature representations from unannotated data. Predominantly used random masking methods make SSL less effective for medical images due to the contextual similarity of neighboring patches, leading to information leakage and SSL simplification. Hierarchical shifted window (Swin) transformer, ..."
23,36.5,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",Self-supervised 3D medical image segmentation by flow-guided mask propagation learning.,Adeleh Bitarafan; Mohammad Mozafari; Mohammad Farid Azampour; Mahdieh Soleymani Baghshah,2025,Medical image analysis,0,PubMed,core_topic,10.1016/j.media.2025.103478,https://pubmed.ncbi.nlm.nih.gov/39965534/,"Despite significant progress in 3D medical image segmentation using deep learning, manual annotation remains a labor-intensive bottleneck. Self-supervised mask propagation (SMP) methods have emerged to alleviate this challenge, allowing intra-volume segmentation with just a single slice annotation. However, the previous SMP methods often rely on 2D information and ignore volumetric contexts. While..."
24,36.5,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",Two-Stage Self-Supervised Contrastive Learning Aided Transformer for Real-Time Medical Image Segmentation.,Abdul Qayyum; Imran Razzak; Moona Mazher; Tariq Khan,2026,IEEE journal of biomedical and health informatics,0,PubMed,masked_image_modeling_medical,10.1109/JBHI.2023.3340956,https://pubmed.ncbi.nlm.nih.gov/38090821/,"The availability of large, high-quality annotated datasets in the medical domain poses a substantial challenge in segmentation tasks. To mitigate the reliance on annotated training data, self-supervised pre-training strategies have emerged, particularly employing contrastive learning methods on dense pixel-level representations. In this work, we proposed to capitalize on intrinsic anatomical simil..."
25,36.0,"RW:SelfSupervisedLearning, RW:KnowledgeDistillation, RW:MedicalSegmentation",Masked autoencoders with generalizable self-distillation for skin lesion segmentation.,Yichen Zhi; Hongxia Bie; Jiali Wang; Lihan Ren,2025,Medical & biological engineering & computing,0,PubMed,masked_image_modeling_medical,10.1007/s11517-024-03086-z,https://pubmed.ncbi.nlm.nih.gov/38653880/,"In the field of skin lesion image segmentation, accurate identification and partitioning of diseased regions is of vital importance for in-depth analysis of skin cancer. Self-supervised learning, i.e., MAE, has emerged as a potent force in the medical imaging domain, which autonomously learns and extracts latent features from unlabeled data, thereby yielding pre-trained models that greatly assist ..."
26,36.0,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",GMIM: Self-supervised pre-training for 3D medical image segmentation with adaptive and hierarchical masked image modeling.,Liangce Qi; Zhengang Jiang; Weili Shi; Feng Qu,2024,Computers in biology and medicine,0,PubMed,masked_image_modeling_medical,10.1016/j.compbiomed.2024.108547,https://pubmed.ncbi.nlm.nih.gov/38728994/,"Self-supervised pre-training and fully supervised fine-tuning paradigms have received much attention to solve the data annotation problem in deep learning fields. Compared with traditional pre-training on large natural image datasets, medical self-supervised learning methods learn rich representations derived from unlabeled data itself thus avoiding the distribution shift between different image d..."
27,36.0,"RW:SelfSupervisedLearning, RW:MedicalSegmentation, RW:Dataset",Hybrid Masked Image Modeling for 3D Medical Image Segmentation.,Zhaohu Xing; Lei Zhu; Lequan Yu; Zhiheng Xing,2024,IEEE journal of biomedical and health informatics,0,PubMed,masked_image_modeling_medical,10.1109/JBHI.2024.3360239,https://pubmed.ncbi.nlm.nih.gov/38289846/,"Masked image modeling (MIM) with transformer backbones has recently been exploited as a powerful self-supervised pre-training technique. The existing MIM methods adopt the strategy to mask random patches of the image and reconstruct the missing pixels, which only considers semantic information at a lower level, and causes a long pre-training time. This paper presents HybridMIM, a novel hybrid self..."
28,35.0,RW:SelfSupervisedLearning,Unsupervised segmentation of dynamic pulmonary MRI using cross-modality adaptation with annotated CT images.,Zijun Wu; Ziwei Zhang; Zhijun Wang; Zekang Ding,2026,International journal of computer assisted radiology and surgery,0,PubMed,masked_image_modeling_medical,10.1007/s11548-026-03584-5,https://pubmed.ncbi.nlm.nih.gov/41784882/,"Accurate segmentation of lung parenchyma in dynamic pulmonary magnetic resonance imaging (MRI) is required for clinical diagnosis and treatment planning. However, supervised deep learning algorithms rely on annotated datasets, which are scarce for pulmonary MRI. This study aims to leverage existing annotated computed tomography (CT) data to enable unsupervised segmentation of pulmonary MRI. A new ..."
29,35.0,"RW:Architecture, RW:MedicalSegmentation",Comparison of Deep Learning Architectures for Cardiac Contour Segmentation in Catheterization Radiographs.,Kian A Huang; Bharath Subramanian; Haris K Choudhary; Aziz U Rehman,2026,Cureus,0,PubMed,masked_image_modeling_medical,10.7759/cureus.103341,https://pubmed.ncbi.nlm.nih.gov/41835693/,"Introduction Accurate cardiac image segmentation is essential for quantitative assessment of cardiac anatomy and function. Manual segmentation, while considered the reference standard, is time-consuming and subject to inter- and intra-observer variability. Deep learning (DL) models, particularly convolutional neural networks (CNNs), have shown promise for automating this process. Among these, U-Ne..."
30,35.0,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",Self-supervised pre-training based hybrid network for deep gray matter nuclei segmentation.,Yang Deng; Jiaxiu Xi; Zhong Chen; Lijun Bao,2026,Magnetic resonance letters,0,PubMed,masked_image_modeling_medical,10.1016/j.mrl.2025.200226,https://pubmed.ncbi.nlm.nih.gov/41788350/,"The accurate segmentation of deep gray matter nuclei is critical for neuropathological research, disease diagnosis and treatment. Existing methods employ the supervised learning training approach, which requires large labeled datasets. It is challenging and time-consuming to obtain such datasets for medical image analysis. In addition, these methods based on convolutional neural networks (CNNs) on..."
31,35.0,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",Generative AI for developing foundation models in radiology and imaging: engineering perspectives.,June-Goo Lee; Sunggu Kyung; Namkug Kim,2026,Biomedical engineering letters,0,PubMed,masked_image_modeling_medical,10.1007/s13534-025-00517-0,https://pubmed.ncbi.nlm.nih.gov/41584810/,"Recent advances in generative artificial intelligence (AI) have accelerated the development of foundation models-large-scale, pre-trained systems capable of learning across modalities and tasks with minimal supervision. In the radiology domain, where annotated data are limited and heterogeneous, generative AI plays a critical role not only in enabling self-supervised learning and synthetic data ge..."
32,34.5,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",Evaluating masked self-supervised learning frameworks for 3D dental model segmentation tasks.,Lucas Krenmayr; Reinhold von Schwerin; Daniel Schaudt; Pascal Riedel,2025,Scientific reports,0,PubMed,masked_image_modeling_medical,10.1038/s41598-025-01014-1,https://pubmed.ncbi.nlm.nih.gov/40368972/,"The application of deep learning using dental models is crucial for automated computer-aided treatment planning. However, developing highly accurate models requires a substantial amount of accurately labeled data. Obtaining this data is challenging, especially in the medical domain. Masked self-supervised learning has shown great promise in overcoming the challenge of data scarcity. However, its e..."
33,34.5,RW:SelfSupervisedLearning,USFM: A universal ultrasound foundation model generalized to tasks and organs towards label efficient image analysis.,Jing Jiao; Jin Zhou; Xiaokang Li; Menghua Xia,2024,Medical image analysis,0,PubMed,masked_image_modeling_medical,10.1016/j.media.2024.103202,https://pubmed.ncbi.nlm.nih.gov/38788326/,"Inadequate generality across different organs and tasks constrains the application of ultrasound (US) image analysis methods in smart healthcare. Building a universal US foundation model holds the potential to address these issues. Nevertheless, the development of such foundation models encounters intrinsic challenges in US analysis, i.e., insufficient databases, low quality, and ineffective featu..."
34,34.0,"RW:SelfSupervisedLearning, RW:Architecture, RW:MedicalSegmentation, RW:Dataset",A Unified Visual Information Preservation Framework for Self-supervised Pre-Training in Medical Image Analysis.,Hong-Yu Zhou; Chixiang Lu; Chaoqi Chen; Sibei Yang,2023,IEEE transactions on pattern analysis and machine intelligence,0,PubMed,unet_self_supervised_medical,10.1109/TPAMI.2023.3234002,https://pubmed.ncbi.nlm.nih.gov/37018263/,"Recent advances in self-supervised learning (SSL) in computer vision are primarily comparative, whose goal is to preserve invariant and discriminative semantics in latent representations by comparing siamese image views. However, the preserved high-level semantics do not contain enough local information, which is vital in medical image analysis (e.g., image-based diagnosis and tumor segmentation)...."
35,33.5,RW:MedicalSegmentation,CLIP-Guided Generative network for pathology nuclei image augmentation.,Yanan Zhang; Qingyang Liu; Qian Chen; Xiangzhi Bai,2026,Medical image analysis,0,PubMed,masked_image_modeling_medical,10.1016/j.media.2025.103908,https://pubmed.ncbi.nlm.nih.gov/41421266/,"Nuclei segmentation and classification play a crucial role in the quantitative analysis of computational pathology (CPath). However, the challenge of creating a large volume of labeled pathology nuclei images due to annotation costs has significantly limited the performance of deep learning-based nuclei segmentation methods. Generative data augmentation offers a promising solution by substantially..."
36,33.0,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",ATLASS: An AnaTomicaLly-Aware Self-Supervised Learning Framework for Generalizable Retinal Disease Detection.,Abdullah Aman Khan; Khwaja Mutahir Ahmad; Sidra Shafiq; Muhammad Usman Akram,2025,IEEE journal of biomedical and health informatics,0,PubMed,masked_image_modeling_medical,10.1109/JBHI.2025.3595697,https://pubmed.ncbi.nlm.nih.gov/40768461/,"Medical imaging, particularly retinal fundus photography, plays a crucial role in early disease detection and treatment for various ocular disorders. However, the development of robust diagnostic systems using deep learning remains constrained by the scarcity of expertly annotated data, which is time-consuming and expensive. Self-Supervised Learning (SSL) has emerged as a promising solution, but e..."
37,33.0,RW:SelfSupervisedLearning,Benefit from public unlabeled data: A Frangi filter-based pretraining network for 3D cerebrovascular segmentation.,Gen Shi; Hao Lu; Hui Hui; Jie Tian,2025,Medical image analysis,0,PubMed,masked_image_modeling_medical,10.1016/j.media.2024.103442,https://pubmed.ncbi.nlm.nih.gov/39837153/,"Precise cerebrovascular segmentation in Time-of-Flight Magnetic Resonance Angiography (TOF-MRA) data is crucial for computer-aided clinical diagnosis. The sparse distribution of cerebrovascular structures within TOF-MRA images often results in high costs for manual data labeling. Leveraging unlabeled TOF-MRA data can significantly enhance model performance. In this study, we have constructed the l..."
38,33.0,"RW:Architecture, RW:KnowledgeDistillation, RW:MedicalSegmentation",Shapedistill: shape-constrained knowledge distillation for medical segmentation,Usma Niyaz; Deepti R. Bathula,2026,International Conference on Machine Vision,0,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1117/12.3088499,https://www.semanticscholar.org/paper/6fe5723dea2c6af92e05180eda3eb9cd39e7bd7b,"Deploying high-quality deep learning models for medical image segmentation in remote or resource-constrained environments remains a significant challenge due to limited computational resources and infrastructure. In this work, we introduce a shape-aware model compression framework that enhances segmentation performance while ensuring model efficiency. Central to our approach is a novel FiLM-attent..."
39,32.0,RW:KnowledgeDistillation,Learning 3-D Ultrasound Segmentation under Extreme Label Deficiency.,Zengyi Qin; Yutong Ban; Hanwen Zhang; Ruike Zhu,2026,Ultrasound in medicine & biology,0,PubMed,knowledge_distillation_medical_segmentation,10.1016/j.ultrasmedbio.2025.12.014,https://pubmed.ncbi.nlm.nih.gov/41771726/,"3-D ultrasound imaging has shown great promise in clinical diagnosis by offering comprehensive volumetric assessment of organs and anatomical structures. Automatic segmentation of these anatomical structures from 3-D ultrasound images plays a critical role in precise evaluation of the clinically relevant volumetric properties of human organs. However, such segmentation algorithms typically demand ..."
40,31.6,"RW:Architecture, RW:KnowledgeDistillation, RW:MedicalSegmentation, RW:Dataset",Adversarial class-wise self-knowledge distillation for medical image segmentation,Xiangchun Yu; Jiaqing Shen; Dingwen Zhang; Jian Zheng,2025,Scientific Reports,3,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1038/s41598-025-98116-7,https://www.semanticscholar.org/paper/c3a8979286d564e4f8e9072334f22a94c8ac2b0d,"Self-knowledge distillation enables knowledge transfer by dynamically constructing the next-stage learning objectives, thus providing more effective path cues to optimize the compact student. The challenge lies in formulating effective learning objectives for the upcoming stage that mitigate the interference of inter-class similarity in medical image segmentation. This paper presents an Adversaria..."
41,31.5,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",MG-3D: Multi-grained knowledge-enhanced vision-language pre-training for 3D medical image analysis.,Xuefeng Ni; Linshan Wu; Jiaxin Zhuang; Qiong Wang,2026,Medical image analysis,0,PubMed,masked_image_modeling_medical,10.1016/j.media.2026.104027,https://pubmed.ncbi.nlm.nih.gov/41846145/,"3D medical image analysis is pivotal in diagnostic, prognostic, and therapeutic applications. However, the development of current AI methods for 3D medical image analysis is hindered by limited generalization capabilities across diverse clinical scenarios and high costs associated with task-specific data annotations, such as segmentation masks and classification labels. Foundation models (FMs) bui..."
42,31.5,RW:SelfSupervisedLearning,Random forest-based out-of-distribution detection for robust lung cancer segmentation.,Aneesh Rangnekar; Harini Veeraraghavan,2026,Proceedings of SPIE--the International Society for Optical Engineering,0,PubMed,masked_image_modeling_medical,10.1117/12.3088144,https://pubmed.ncbi.nlm.nih.gov/41953784/,Accurate detection and segmentation of cancerous lesions from computed tomography (CT) scans is essential for automated treatment planning and cancer treatment response assessment. Transformer-based models with self-supervised pretraining can produce reliably accurate segmentation from in-distribution (ID) data but degrade when applied to out-of-distribution (OOD) datasets. We address this challen...
43,31.5,"RW:SelfSupervisedLearning, RW:Architecture, RW:MedicalSegmentation",AIMR-MediTell: Attention-Infused Mask RNN for Medical Image Interpretation and Report Generation.,Liuliu Chen; Longhao Yang; Orkun Bedir,2025,Studies in health technology and informatics,0,PubMed,masked_image_modeling_medical,10.3233/SHTI250905,https://pubmed.ncbi.nlm.nih.gov/40775923/,"Medical diagnostics often rely on the interpretation of complex medical images. However, manual analysis and report generation by medical practitioners are time-consuming, and the inherent ambiguity in chest X-rays presents significant challenges for automated systems in producing interpretable results. To address this, we propose Attention-Infused Mask Recurrent Neural Network (AIMR-MediTell), a ..."
44,31.5,General,Robust real-time segmentation of bio-morphological features in human cherenkov imaging during radiotherapy via deep learning.,Shiru Wang; Yao Chen; Lesley A Jarvis; Yucheng Tang,2025,Medical physics,0,PubMed,masked_image_modeling_medical,10.1002/mp.18002,https://pubmed.ncbi.nlm.nih.gov/40781822/,"Cherenkov imaging enables real-time visualization of megavoltage X-ray or electron beam delivery to the patient during radiation therapy (RT). Bio-morphological features, such as vasculature, seen in these images are patient-specific signatures that can be used for verification of positioning and motion management that are essential to precise RT treatment. However, no concerted analysis of this b..."
